article-title,article-pmid
FMRI repetition suppression for voices is modulated by stimulus expectations ,23268783
Brain Activity toward Gaming-Related Cues in Internet Gaming Disorder during an Addiction Stroop Task,27242623
fMRI evidence for both generalized and specialized components of attentional control,17916338
Strategic differences in algebraic problem solving: Neuroanatomical correlates ,17509541
The visual perception of natural motion: abnormal task-related neural activity in DYT1 dystonia,26419798
fMRI study of graduated emotional charge for detection of covert activity using passive listening to narratives ,28245989
Altered Spontaneous Activity in Anisometropic Amblyopia Subjects: Revealed by Resting-State fMRI,22937041
Altered blood oxygen level-dependent signal variability in chronic post-traumatic stress disorder during symptom provocation,26229476
Preterm birth and structural brain alterations in early adulthood,25379430
Visuo-motor integration in humans: Cortical patterns of response lateralisation and functional connectivity ,19428395
Programmable tactile pattern presentations operational under MRI to investigate neural mechanisms of tactile shape discrimination ,21763724
Mental time travel into the past and the future in healthy aged adults: An fMRI study ,21093970
Fasting plasma insulin and the default mode network in women at risk for Alzheimer's disease,22770543
Cerebral Correlates of Amygdala Responses During Non-Conscious Perception of Facial Affect in Adolescent and Pre-Adolescent Children,20200600
The neural correlates of maternal sensitivity: An fMRI study,22652538
Differential Involvement of the Anterior Temporal Lobes in Famous People Semantics,27625630
Cortical mechanisms for shifting and holding visuospatial attention,17434917
"Neuronal interactions in areas of spatial attention reflect avoidance of disgust, but orienting to danger ",27039145
Tract-based spatial statistics of the olfactory brain in patients with multiple sclerosis ,25216554
Differential effects of hunger and satiety on insular cortex and hypothalamic functional connectivity,26790868
Adaptive Changes in Early and Late Blind: A fMRI Study of Braille Reading,11784773
"Functional Magnetic Resonance Imaging Connectivity Analyses Reveal Efference-Copy to Primary Somatosensory Area, BA2",24416222
Age-related differences in neural recruitment during the use of cognitive reappraisal and selective attention as emotion regulation strategies,24782800
Altered fractional amplitude of low frequency fluctuation associated with cognitive dysfunction in first-episode drug-naïve major depressive disorder patients,28077120
Limitations to plasticity of language network reorganization in localization related epilepsy,19059978
Functional selectivity in the human occipitotemporal cortex during natural vision: Evidence from combined intracranial EEG and eye-tracking ,24650595
Proprioceptive head posture-related processing in human polysensory cortical areas ,18296073
The overlap of the EBA and the MT/V5 cluster ,23108274
Alterations of Resting State Functional Network Connectivity in the Brain of Nicotine and Alcohol Users,27864080
Altered Spontaneous Brain Activity in Primary Open Angle Glaucoma: A Resting-State Functional Magnetic Resonance Imaging Study,24586822
The neural network associated with lexical-semantic knowledge about social groups ,26211435
Brain activations reflect individual discount rates in intertemporal choice ,20083092
Early and late onset Alzheimer's disease patients have distinct patterns of white matter damage ,21074899
What artificial grammar learning reveals about the neurobiology of syntax ,20943261
Paracingulate sulcus morphology and fMRI activation detection in schizophrenia patients ,16387476
Changes in Effective Connectivity by Propofol Sedation,23977030
Effects of Attention to Auditory Motion on Cortical Activations during Smooth Pursuit Eye Tracking,19771159
You’d Better Think Twice: Post-Decision Perceptual Confidence ,24862076
The extrastriate cortex distinguishes between the consequences of one's own and others' behavior ,17478105
A differentiation account of recognition memory: Evidence from fMRI,23092213
Communicative versus Strategic Rationality: Habermas Theory of Communicative Action and the Social Brain,23734238
Multiple neural networks supporting a semantic task: An fMRI study using independent component analysis ,19166946
Learning by strategies and learning by drill—evidence from an fMRI study ,15808984
Trait anhedonia is associated with reduced reactivity and connectivity of mesolimbic and paralimbic reward pathways ,23791396
Imaging Implicit Morphological Processing: Evidence from Hebrew,19803693
Oxytocin reduces neural activity in the pain circuitry when seeing pain in others,25818690
Neuroanatomical correlates of impaired recognition of emotion in dementia ,16154603
Neural bases of categorization of simple speech and nonspeech sounds,16281285
Spontaneous Action Representation in Smokers when Watching Movie Characters Smoke,21248113
Impaired risk evaluation in people with Internet gaming disorder: fMRI evidence from a probability discounting task ,25218095
Innocent intentions: A correlation between forgiveness for accidental harm and neural activity ,19467357
Neural correlates of valence generalization in an affective conditioning paradigm ,26057359
Sleep restriction increases the neuronal response to unhealthy food in normal-weight individuals,23779051
Species-specific response to human infant faces in the premotor cortex,22230948
Developmental phonagnosia: Linking neural mechanisms with the behavioural phenotype ,28254454
Goal-dependent modulation of declarative memory: Neural correlates of temporal recency decisions and novelty detection ,17499318
Dysmenorrhoea is associated with central changes in otherwise healthy women ,21524851
Brain structure is changed in congenital anosmia ,23927902
Abnormal regional homogeneity as potential imaging biomarker for psychosis risk syndrome: a resting-state fMRI study and support vector machine analysis,27272341
Neurofeedback-mediated self-regulation of the dopaminergic midbrain ,23791838
In Vivo High-Resolution 7 Tesla MRI Shows Early and Diffuse Cortical Alterations in CADASIL,25165824
Tai Chi Chuan optimizes the functional organization of the intrinsic human brain architecture in older adults,24860494
Neural correlates of metaphor processing in schizophrenia ,17081771
Cerebral Processing of Voice Gender Studied Using a Continuous Carryover fMRI Design,22490550
A sensitive period for language in the visual cortex: Distinct patterns of plasticity in congenitally versus late blind adults,22154509
Interaural temporal and coherence cues jointly contribute to successful sound movement perception and activation of parietal cortex ,19303934
Recruitment of Anterior and Posterior Structures in Lexical-Semantic Processing: An fMRI Study Comparing Implicit and Explicit Tasks,18279947
Pattern of Regional Cortical Thinning Associated with Cognitive Deterioration in Parkinson’s Disease,23359616
Modulating effect of COMT Val158Met polymorphism on interference resolution during a working memory task ,25682348
Associations of sex steroid hormones with cerebral activations during mental rotation in men and women with schizophrenia ,21514059
Neural basis of irony comprehension in children with autism: the role of prosody and context,16481375
Dissociable patterns of brain activity for mentalizing about known others: a role for attachment,28407150
Brain Activity during Lower-Limb Movement with Manual Facilitation: An fMRI Study,25722890
